Aalu,1,0.32,24.16,0.87,0.2,0.12,0.02,0.01,0.73,0.38,0.36,0.17,0.98,0.28,0,0.06,0.12,0.44
Aata,1,0.32,17.83,0.64,1.01,1.34,0.17,0,0,1.67,0.73,1.93,1.09,0.48,0,0.18,0.9,1.6
Bajra,1,0.32,14.24,0.49,1.08,1.05,0.41,0,0,0.97,0.7,0.93,0.8,0.38,0,0.19,1.29,0.88
Bhains ka dudh,1,0.32,38.69,1.4,0.3,0.38,0.66,0.13,0.06,0.21,0.83,0.02,0.08,0.09,2.72,1.11,0.08,0.12
Breast milk,1,1.21,0,0,0.73,0.4,1.32,0.54,0.57,0.37,0.51,0.34,0.12,0.49,1.1,0.57,0,0.25
Chauli Hara saag,1,0.31,12.71,0.46,0.07,0.2,0.03,2.07,1.37,0.13,0.67,0.33,0.66,1.27,0,0.9,1.89,0.53
Chola safed,1,0.2,22,0.8,0.6,1.1,0.3,0,0,0.8,0.6,0.6,1,1.6,0,0.6,1.1,0.8
Choti Machli,1,0.3,54,2,0.3,1.6,0.2,0,0,0.9,0.2,1,0.3,0.1,7.4,0.1,0.4,0.3
Coriander leaf raw,1,0.1,14,0.5,0.3,0.3,0.3,0,0.1,0.3,0.3,0.3,1.1,1.2,0,0.7,1.8,0.6
Lal saag,1,0.3,27.7,1,0.1,0.46,0.03,2.26,1.59,0.14,0.5,0.34,0.67,1.3,0,1.38,1.38,0.53
Methi Saag,1,0.3,31.6,1.14,0.14,0.42,0.08,2.06,1.88,0.52,1.14,0.34,0.9,1.52,0,2.04,0.42,0.18
Nariyal,1,0.4,42,1.5,2.4,0.7,6.7,0,0.3,0.7,0.2,0.5,0.4,0.9,0,0.2,1.2,1.4
Sarson,1,0.1,14,0.5,0.5,0.8,1.1,0,0,1,0.3,0.6,0.5,0.8,0,0.5,0.7,1.1
Tejpata,1,0,5,0.2,0,0,0,0,0.1,0,0.1,0,0.2,0.1,0,0.1,0.3,0.1
